Campaign report
"January 15, 2026 - January 15, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign type,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Bid strategy type,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
Enabled,Sales-Performance Max-UK,144.00, --,Daily,HKD,Eligible (Limited),limited by budget; unknown,71.72,Performance Max,"3,715",90,2.42%,2.30,206.84,Maximize Conversion Value (Target ROAS),51,1.67%,679.32,3.28,1.50,4.06,138.00
Enabled,Search-brand-tRoas20240924,130.00, --,Daily,HKD,Eligible (Limited),limited by budget; unknown,78.12,Search,135,29,21.48%,4.78,138.60,Maximize Conversion Value (Target ROAS),29,6.90%,817.56,5.90,2.00,4.78,69.30
Enabled,Non-brand search-best walkie talkie-20251205,80.00, --,Daily,HKD,Eligible,unknown,87.07,Search,545,21,3.85%,3.05,63.95,Maximize clicks,21,4.76%,425.61,6.66,1.00,3.05,63.95
Enabled,Pmax-Long Range Walkie Talkies,200.00, --,Daily,HKD,Eligible (Learning),bidding strategy learning; unknown,77.04,Performance Max,0,0, --,0,0.00,Maximize Conversion Value,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Display-abandon cart-20241106,50.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Display,0,0, --,0,0.00,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,PMax: Smart Shopping - 20210914,50.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Performance Max,0,0, --,0,0.00,Maximize Conversion Value,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,dynamic remarketing -TEST,50.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Display,0,0, --,0,0.00,CPC (enhanced),0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Retargeting - 06192022,50.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Display,0,0, --,0,0.00,Target CPA,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Baofeng Radio Search by model (DE),72.00, --,Daily,HKD,Paused,campaign paused; some ads disapproved, --,Search,0,0, --,0,0.00,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,PMax: Smart Shopping 20210905,150.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Performance Max,0,0, --,0,0.00,Maximize Conversion Value,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,PMax: Smart Shopping 2021090502,150.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Performance Max,0,0, --,0,0.00,Maximize Conversion Value,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Sales-Performance Max- DE,80.00, --,Daily,HKD,Paused,campaign paused; most asset groups limited by policy, --,Performance Max,0,0, --,0,0.00,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Baofeng Radio Search by model,150.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize Conversion Value,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Outdoor,150.00, --,Daily,HKD,Paused,campaign paused; most ads disapproved, --,Search,0,0, --,0,0.00,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Mini Walkie Talkie,100.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Brand - Search AD -DE,100.00, --,Daily,HKD,Paused,campaign paused; some ads disapproved, --,Search,0,0, --,0,0.00,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Pmax-uv-5rh pro only-20250314,150.00, --,Daily,HKD,Eligible (Limited),limited by budget; unknown,70.01,Performance Max,"4,221",104,2.46%,1.58,164.72,Maximize Conversion Value (Target ROAS),45,0.04%,20.03,0.12,0.05,3.66,3605.42
Enabled,"Pmax-888s,88e,w31 asset, 20250328",252.00, --,Daily,HKD,Eligible,some asset groups limited by policy,65.72,Performance Max,"2,603",71,2.73%,2.08,147.89,Maximize Conversion Value (Target ROAS),45,0.71%,"1,258.98",8.51,0.50,3.29,295.18
Paused,Brand - Search AD -ukraine,50.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Pmax-uv25-UK,120.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Performance Max,0,0, --,0,0.00,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Pmax-uv98pro only-waterproof signal20250708,150.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Performance Max,0,0, --,0,0.00,Maximize Conversion Value,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Baofeng Radio Search by model - ukraine,50.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,shopping-888s only,300.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Shopping,0,0, --,0,0.00,Target ROAS,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Sales-Performance Max-UK #2,550.00, --,Daily,HKD,Paused,campaign paused; most asset groups limited by policy, --,Performance Max,0,0, --,0,0.00,Maximize Conversion Value,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Brand - Search AD -UK,220.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Baofeng Radio Search by model (ger),100.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize Conversion Value,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Search-quansheng-20250403,50.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize Conversion Value (Target ROAS),0,0.00%,0.00,0.00,0.00,0,0.00
Paused,standard shopping - DE 31/01/2023,80.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Shopping,0,0, --,0,0.00,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,BFCM2022,30.00, --,Daily,HKD,Paused,campaign paused; some ads disapproved, --,Search,0,0, --,0,0.00,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Brand - Search AD - AU,300.00,Portfolio Maximise conversions value_743327434-300-1671647844627- created on 22/12/2022 02:37,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize Conversion Value,0,0.00%,0.00,0.00,0.00,0,0.00
